Species,Mo_since_burn_grouped,Count
Eucera dubitata,6 to 10,1
Eucera rosae,6 to 10,1
Eucera rosae,6 to 10,1
Eucera rosae,6 to 10,1
Eucera dubitata,6 to 10,1
Eucera ,6 to 10,1
Unknown,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Unknown,6 to 10,1
Unknown,6 to 10,1
Lasioglossum mitchelli,6 to 10,1
Lasioglossum ,6 to 10,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Anthophora bomboides,21 plus,1
Unknown,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Anthophora bomboides,11 to 15,1
Eucera ,11 to 15,1
Eucera ,11 to 15,1
Eucera ,11 to 15,1
Osmia ,11 to 15,1
Lasioglossum ,11 to 15,1
Anthophora abrupta,21 plus,1
Bombus griseocollis,21 plus,1
Anthophora bomboides,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Anthophora bomboides,21 plus,1
Anthophora bomboides,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Lasioglossum ,21 plus,1
Lasioglossum ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Lasioglossum ,6 to 10,1
Lasioglossum tegulare,6 to 10,1
Eucera ,11 to 15,1
Eucera ,11 to 15,1
Unknown,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Halictus ,21 plus,1
Eucera ,21 plus,1
Bombus pensylvanicus,21 plus,1
Xylocopa virginica,21 plus,1
Eucera ,21 plus,1
Anthophora bomboides,21 plus,1
Eucera ,21 plus,1
Eucera ,21 plus,1
Osmia ,21 plus,1
Osmia ,21 plus,1
Eucera ,21 plus,1
Eucera ,6 to 10,1
Anthophora affabilis,6 to 10,1
Bombus impatiens,6 to 10,1
Eucera ,6 to 10,1
Eucera ,6 to 10,1
Osmia ,6 to 10,1
Osmia ,6 to 10,1
Osmia ,6 to 10,1
Eucera ,21 plus,1
